"Time	RPM	MAP	TP	lambda	MAT	CLT	Gego	Gwarm	Gbaro	Gammae	TPSacc	Gve	PW	PW_raw	IacDC	IacSteps	DutyCycle1	lambdaTarget	Spark	Dwell	EGT #1	Vbatt	IacInt	speed_rpm_ratio	altitude	speed	course	distance	distance_sum	inst_Vems	torque	torque_nominal	L100km	lambda_corr_ego	lambda_corr_ego	afr_diff	corrected_ve	",Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
"1.782	2006	67.5	1.2	0.991	30.0	85.0	93	100	100	97	0.0	90	4.424	3.668	18	46	7.4	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.870	35.104	33.419	255.000	0.922	0.922	1.009	82.988	",1.782,2006,67.5,1.2,0.991,30,85,93,100,100,97,0,90,4.424,3.668,18,46,7.4,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.87,35.104,33.419,255,0.922,0.922,1.009,82.988
"1.829	2012	54.3	1.2	0.989	30.0	85.0	93	100	100	97	0.0	90	3.692	2.936	18	46	6.2	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.304	37.870	36.196	255.000	0.920	0.920	1.011	82.810	",1.829,2012,54.3,1.2,0.989,30,85,93,100,100,97,0,90,3.692,2.936,18,46,6.2,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.304,37.87,36.196,255,0.92,0.92,1.011,82.81
"1.875	2010	67.5	1.2	0.987	30.0	85.0	93	100	100	97	0.0	90	4.424	3.668	18	46	7.4	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.875	34.708	33.023	255.000	0.918	0.918	1.013	82.631	",1.875,2010,67.5,1.2,0.987,30,85,93,100,100,97,0,90,4.424,3.668,18,46,7.4,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.875,34.708,33.023,255,0.918,0.918,1.013,82.631
"1.922	2022	80.3	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	5.135	4.364	18	47	8.7	1.000	30.0	4.03	675	12.00	123	0	0.0	0.0	0.0	0	0	3.441	37.278	35.601	255.000	0.926	0.926	1.004	83.344	",1.922,2022,80.3,1.2,0.996,30,85,93,100,100,97,0,90,5.135,4.364,18,47,8.7,1,30,4.03,675,12,123,0,0,0,0,0,0,3.441,37.278,35.601,255,0.926,0.926,1.004,83.344
"1.969	2000	67.0	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	47	7.3	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.839	34.610	32.924	255.000	0.930	0.930	1.000	83.700	",1.969,2000,67,1.2,1,30,85,93,100,100,97,0,90,4.396,3.64,18,47,7.3,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.839,34.61,32.924,255,0.93,0.93,1,83.7
"2.016	2006	54.8	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	3.728	2.964	18	46	6.2	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.319	34.708	33.023	255.000	0.928	0.928	1.002	83.522	",2.016,2006,54.8,1.2,0.998,30,85,93,100,100,97,0,90,3.728,2.964,18,46,6.2,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.319,34.708,33.023,255,0.928,0.928,1.002,83.522
"2.063	2008	54.5	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	3.728	2.964	18	46	6.2	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.321	36.685	35.006	255.000	0.926	0.926	1.004	83.344	",2.063,2008,54.5,1.2,0.996,30,85,93,100,100,97,0,90,3.728,2.964,18,46,6.2,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.321,36.685,35.006,255,0.926,0.926,1.004,83.344
"2.110	2004	67.0	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.411	3.640	18	46	7.4	1.000	30.0	4.03	675	12.00	123	0	0.0	0.0	0.0	0	0	2.845	34.511	32.824	255.000	0.928	0.928	1.002	83.522	",2.11,2004,67,1.2,0.998,30,85,93,100,100,97,0,90,4.411,3.64,18,46,7.4,1,30,4.03,675,12,123,0,0,0,0,0,0,2.845,34.511,32.824,255,0.928,0.928,1.002,83.522
"2.157	2017	80.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	5.120	4.364	18	46	8.6	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.433	36.981	35.304	255.000	0.930	0.930	1.000	83.700	",2.157,2017,80.3,1.2,1,30,85,93,100,100,97,0,90,5.12,4.364,18,46,8.6,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.433,36.981,35.304,255,0.93,0.93,1,83.7
"2.204	2000	66.8	1.2	0.991	30.0	85.0	93	100	100	97	0.0	90	4.388	3.624	18	47	7.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.827	35.202	33.519	255.000	0.922	0.922	1.009	82.988	",2.204,2000,66.8,1.2,0.991,30,85,93,100,100,97,0,90,4.388,3.624,18,47,7.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.827,35.202,33.519,255,0.922,0.922,1.009,82.988
